id,name,category,latitude,longitude,address,district,island
serp-ChIJe72WaIt9L48RVvJIBS7-euI-yfjdil84j,"INDIGO DIVERS Grand Cayman",diving_snorkeling,19.373067,-81.409241,"25 N W Point Rd, West Bay, Cayman Islands",West Bay,Grand Cayman
serp-ChIJOb5a0wRhKI8RAt0rSPzWJ60-5qcb0crkk,"Little Cayman Divers",diving_snorkeling,19.664161,-80.058445,"Guy Banks Road Little Cayman KY3, 2501, Cayman Islands",Little Cayman,Little Cayman
serp-ChIJxRowQvd9L48RXJ7AknS6HzI-qatbgvue0,"Shaggy's Diving & Condos",diving_snorkeling,19.275942,-81.258942,"Coconut Bay 25 Dunlop Drive PO 643 Grand Cayman KY1, 1303, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJhVIkORiHJY8R5dbY0iHJZQg-fogmwmva7,"Anytime Wellness Ltd.",spa_wellness,19.288843,-81.375456,"The Harbour Centre, 42 N Church St, George Town, Cayman Islands",George Town,Grand Cayman
serp-ChIJ58_vBCWHJY8Rb6KQ9pLNz6Q-qy5f7cmwr,"ELIM WELLNESS CENTRE",spa_wellness,19.319117,-81.240919,"PARK PLACE, 16 Earth Cl, KY1-1206, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJVVVlUaqHJY8RV8GQZJQ1q0s-kbdixr24y,"Cayman Massage & Wellness",spa_wellness,19.321865,-81.378508,"West Shore Wellness, West Shore Center, 508 W Bay Rd, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJzzOBE2-HJY8RM_9Tzukihpk-mznzrz521,"BodyWorks Holistic Wellness Centre",spa_wellness,19.317152,-81.237138,"179, A KY1, 1104, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJ9QiXhamHJY8R-Wi3CL9VXg0-qt6cjb2ff,"The Da Vinci Wellness Centre",spa_wellness,19.375331,-81.408208,"16-C2 Earth Cl Park Place Plaza, West Bay Road, Seven Mile Beach Grand Cayman KY1, 1205, Cayman Islands",West Bay,Grand Cayman
serp-ChIJQVVVZQZiL48RvngBgIZ5rgY-xd899bq8s,"Perfectly Pampered Cayman - Mobile Massage and Spa Grand Cayman",spa_wellness,19.316923,-81.238204,"",Grand Cayman,Grand Cayman
serp-ChIJExixktWHJY8RaF-b3-ah5u0-ffco0eqn5,"The Well Cayman - Medical, Clinical, Functional",spa_wellness,19.283038,-81.373685,"2nd Floor, 15 S Church St, George Town KY1-1110, Cayman Islands",George Town,Grand Cayman
serp-ChIJg6TkXg2HJY8RCXhT6ECfrVM-ahd5r740p,"Beauty Shape European Fitness and Wellness Center",spa_wellness,19.323207,-81.236435,"Grand Cayman, Unit 13, The Strand, 46 Canal Point Dr, KY1-1112, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJgbeZWKYtzEwRiGRFqLscDok-dr3hk83vb,"Mellisauna’s Oasis Spa Cayman- Mobile Massage -Grand Cayman",spa_wellness,19.319976,-81.236135,"",Grand Cayman,Grand Cayman
serp-ChIJiSaZDtWHJY8RyttoYXIjkYQ-ix1ag4jgu,"Grand Tiki - Bar & Grill",bar,19.285604,-81.37307,"93 S Church St, George Town, Cayman Islands",George Town,Grand Cayman
serp-ChIJGysgWuqHJY8RrvaazEPRc6M-2k6f3lgwl,"Sandbar Daiquiri Bar & Grill Grand Cayman",bar,19.339158,-81.380955,"1, Box 11310 KY, 23, 1008 N Church St, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJ8elUPSuHJY8RNoD3oe1052k-3tyhcku81,"All Stars Sports Bar & Grill",bar,19.324152,-81.381385,"W Bay Rd, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJefOeAbyJJY8RFNIk_512Zfw-8gnqnkl47,"Caymanvibes water sports",water_sports,19.35708,-81.376373,"Kaibo Newlands barcadere, Rum Point, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJ16HHw_b1JY8R50Af6lFhW4o-48h5njcyv,"White Sand Water Sports",water_sports,19.31983,-81.383605,"585 Water Cay Rd, Rum Point, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJgdFqbeiHJY8R8R6qTgh-uQs-7hazrlm91,"Island Splash Watersports",water_sports,19.324373,-81.17663,"Yacht Dr, Cayman Islands Yacht Club, Dock B Grand Cayman, KY1-1207, Cayman Islands",Grand Cayman,Grand Cayman
serp-ChIJAQCkfl-GJY8RGVmvkz9geNI-ebmysk74n,"Rowan Watersports LTD",water_sports,19.319433,-81.23721,"Turnberry Drive, West Best, Safehaven Marina Dock 18, Seafarers Way, Royal Watler Cruise Terminal, Cayman Islands",Grand Cayman,Grand Cayman
